iter	Passed	Remaining
0	146	146013
1	146	73339
2	147	49039
3	148	36894
4	148	29608
5	149	24731
6	149	21254
7	150	18650
8	150	16617
9	151	14990
10	152	13672
11	152	12575
12	153	11638
13	153	10833
14	154	10133
15	154	9522
16	155	8983
17	155	8504
18	156	8075
19	156	7690
20	157	7340
21	157	7023
22	158	6733
23	159	6471
24	159	6226
25	160	6000
26	160	5790
27	161	5596
28	161	5414
29	162	5244
30	162	5086
31	163	4937
32	163	4797
33	164	4665
34	164	4541
35	165	4423
36	165	4313
37	166	4208
38	166	4108
39	167	4013
40	167	3922
41	168	3837
42	168	3755
43	169	3677
44	169	3603
45	170	3531
46	170	3463
47	171	3397
48	171	3335
49	172	3275
50	172	3217
51	173	3161
52	173	3106
53	174	3055
54	174	3005
55	175	2956
56	175	2909
57	176	2864
58	176	2821
59	177	2778
60	177	2737
61	178	2698
62	178	2659
63	179	2622
64	179	2586
65	180	2551
66	180	2517
67	181	2481
68	181	2449
69	182	2418
70	182	2387
71	183	2358
72	183	2330
73	183	2302
74	184	2275
75	184	2248
76	185	2223
77	185	2197
78	186	2174
79	187	2150
80	187	2127
81	188	2104
82	188	2082
83	188	2060
84	189	2038
85	189	2017
86	190	1996
87	190	1976
88	191	1957
89	191	1938
90	192	1920
91	192	1901
92	193	1884
93	193	1867
94	194	1850
95	194	1833
96	195	1817
97	195	1801
98	196	1785
99	196	1770
100	197	1755
101	197	1738
102	197	1724
103	198	1709
104	199	1696
105	199	1683
106	200	1669
107	200	1656
108	201	1644
109	201	1632
110	202	1619
111	202	1607
112	203	1595
113	203	1583
114	204	1571
115	204	1558
116	205	1547
117	205	1536
118	205	1525
119	206	1514
120	206	1503
121	207	1493
122	207	1481
123	208	1471
124	208	1461
125	209	1451
126	209	1441
127	210	1431
128	210	1421
129	211	1412
130	211	1403
131	212	1394
132	212	1385
133	213	1376
134	213	1368
135	214	1360
136	214	1351
137	215	1343
138	215	1334
139	215	1326
140	216	1318
141	216	1311
142	217	1303
143	217	1295
144	218	1288
145	218	1280
146	219	1273
147	219	1266
148	220	1259
149	220	1252
150	221	1245
151	221	1238
152	222	1231
153	222	1224
154	223	1217
155	223	1211
156	224	1204
157	224	1198
158	225	1192
159	225	1185
160	226	1179
161	226	1173
162	227	1168
163	228	1162
164	228	1157
165	229	1151
166	229	1145
167	230	1139
168	230	1134
169	231	1128
170	231	1122
171	232	1117
172	232	1111
173	233	1106
174	233	1101
175	234	1095
176	234	1090
177	235	1085
178	235	1080
179	236	1075
180	236	1069
181	236	1064
182	237	1059
183	237	1054
184	238	1049
185	238	1044
186	239	1040
187	239	1035
188	240	1030
189	240	1026
190	241	1021
191	241	1017
192	242	1013
193	242	1008
194	243	1004
195	243	1000
196	244	996
197	244	991
198	245	987
199	245	983
200	246	979
201	246	974
202	247	970
203	247	966
204	248	962
205	248	958
206	249	954
207	249	950
208	250	946
209	250	943
210	251	939
211	251	935
212	252	931
213	252	928
214	253	924
215	253	920
216	254	917
217	254	913
218	255	909
219	255	906
220	256	903
221	256	899
222	257	896
223	257	892
224	258	889
225	258	886
226	259	882
227	259	879
228	260	875
229	260	872
230	261	869
231	261	866
232	262	862
233	262	859
234	263	856
235	263	853
236	264	850
237	264	847
238	265	844
239	265	840
240	266	837
241	266	834
242	267	831
243	267	828
244	267	825
245	268	822
246	268	819
247	269	817
248	269	814
249	270	811
250	270	808
251	271	805
252	271	802
253	272	800
254	273	797
255	273	795
256	274	792
257	274	790
258	275	788
259	275	785
260	276	782
261	276	780
262	277	777
263	278	775
264	278	772
265	279	769
266	279	767
267	279	764
268	280	762
269	280	759
270	281	757
271	281	754
272	282	752
273	282	749
274	283	747
275	283	744
276	284	742
277	285	740
278	285	737
279	286	735
280	286	733
281	286	730
282	287	728
283	288	726
284	288	723
285	289	721
286	289	719
287	289	716
288	290	714
289	290	712
290	291	710
291	291	707
292	292	705
293	292	703
294	293	701
295	293	699
296	294	696
297	294	694
298	295	692
299	295	690
300	296	688
301	296	686
302	297	684
303	297	681
304	298	679
305	298	677
306	299	675
307	299	673
308	300	671
309	300	669
310	301	667
311	301	665
312	302	663
313	302	661
314	303	659
315	303	657
316	304	655
317	304	653
318	305	651
319	305	649
320	306	647
321	306	645
322	307	643
323	307	641
324	308	640
325	308	638
326	309	636
327	309	634
328	310	632
329	310	630
330	311	628
331	311	626
332	312	625
333	312	623
334	313	621
335	313	619
336	314	618
337	314	616
338	315	614
339	315	612
340	316	610
341	316	609
342	317	607
343	317	605
344	318	604
345	318	602
346	319	600
347	319	598
348	320	597
349	320	595
350	321	593
351	321	591
352	322	590
353	322	588
354	322	586
355	323	585
356	323	583
357	324	581
358	324	580
359	325	578
360	325	576
361	326	575
362	327	574
363	327	572
364	328	570
365	328	569
366	329	567
367	329	566
368	330	564
369	330	562
370	331	561
371	331	559
372	332	558
373	332	556
374	333	555
375	333	553
376	334	552
377	334	550
378	335	549
379	335	547
380	336	545
381	336	544
382	337	542
383	337	541
384	337	539
385	338	538
386	338	536
387	339	535
388	339	533
389	340	532
390	340	530
391	341	529
392	341	528
393	342	526
394	342	525
395	343	523
396	343	522
397	344	520
398	344	519
399	345	518
400	345	516
401	346	515
402	346	513
403	347	512
404	347	511
405	348	509
406	348	508
407	349	506
408	349	505
409	350	504
410	350	502
411	351	501
412	351	500
413	352	498
414	352	497
415	353	496
416	353	494
417	354	493
418	354	492
419	355	490
420	355	489
421	356	488
422	356	486
423	357	485
424	357	484
425	358	482
426	358	481
427	359	480
428	359	478
429	360	477
430	360	476
431	361	475
432	361	473
433	362	472
434	362	471
435	363	469
436	363	468
437	364	467
438	364	466
439	365	464
440	365	463
441	366	462
442	366	461
443	367	459
444	367	458
445	368	457
446	368	456
447	369	454
448	369	453
449	370	452
450	370	451
451	371	450
452	371	448
453	372	447
454	372	446
455	373	445
456	373	444
457	374	442
458	374	441
459	375	440
460	375	439
461	376	438
462	376	436
463	377	435
464	377	434
465	378	433
466	378	432
467	379	431
468	379	429
469	380	428
470	380	427
471	381	426
472	381	425
473	382	424
474	382	422
475	383	421
476	383	420
477	384	419
478	384	418
479	385	417
480	385	416
481	386	415
482	386	413
483	387	412
484	387	411
485	388	410
486	388	409
487	389	408
488	389	407
489	390	406
490	390	404
491	391	403
492	391	402
493	392	401
494	392	400
495	393	399
496	393	398
497	394	397
498	394	396
499	395	395
500	395	394
501	396	392
502	396	391
503	397	390
504	397	390
505	398	388
506	398	387
507	399	386
508	400	385
509	400	384
510	401	384
511	401	383
512	402	382
513	403	381
514	403	380
515	404	379
516	404	378
517	405	377
518	405	376
519	406	375
520	406	374
521	407	373
522	407	371
523	408	370
524	408	369
525	409	368
526	409	367
527	410	366
528	410	365
529	411	364
530	411	363
531	412	362
532	412	361
