iter	Passed	Remaining
0	160	159919
1	162	80887
2	163	54265
3	164	40940
4	165	32939
5	166	27605
6	167	23793
7	168	20934
8	169	18713
9	171	16931
10	172	15475
11	173	14262
12	174	13234
13	175	12389
14	177	11648
15	178	11002
16	180	10418
17	181	9890
18	182	9418
19	183	8993
20	184	8607
21	185	8257
22	186	7937
23	187	7644
24	189	7373
25	190	7139
26	191	6911
27	192	6696
28	194	6496
29	195	6308
30	196	6132
31	197	5968
32	198	5814
33	199	5668
34	200	5530
35	201	5401
36	202	5277
37	203	5161
38	205	5054
39	206	4952
40	207	4853
41	208	4759
42	209	4668
43	210	4581
44	211	4499
45	213	4419
46	214	4343
47	215	4270
48	216	4200
49	217	4133
50	218	4070
51	219	4008
52	221	3950
53	222	3893
54	223	3837
55	224	3784
56	225	3731
57	226	3681
58	227	3632
59	228	3585
60	229	3539
61	231	3498
62	232	3457
63	233	3415
64	234	3377
65	236	3342
66	237	3309
67	239	3276
68	240	3243
69	241	3211
70	243	3179
71	244	3150
72	246	3124
73	247	3092
74	248	3061
75	249	3031
76	250	3005
77	251	2978
78	253	2950
79	254	2923
80	255	2896
81	256	2870
82	257	2840
83	258	2815
84	259	2793
85	260	2769
86	261	2746
87	262	2723
88	263	2701
89	265	2680
90	266	2660
91	267	2640
92	268	2620
93	269	2600
94	271	2581
95	272	2562
96	273	2544
97	274	2526
98	275	2507
99	276	2490
100	277	2472
101	278	2454
102	280	2439
103	281	2424
104	282	2407
105	283	2391
106	284	2375
107	285	2359
108	287	2346
109	288	2332
110	289	2317
111	290	2302
112	291	2288
113	292	2274
114	293	2259
115	294	2247
116	295	2233
117	296	2219
118	298	2206
119	299	2194
120	300	2184
121	301	2173
122	303	2162
123	304	2150
124	305	2139
125	306	2128
126	307	2116
127	309	2107
128	310	2097
129	311	2087
130	313	2076
131	314	2067
132	315	2057
133	317	2048
134	318	2039
135	319	2032
136	321	2022
137	322	2014
138	324	2011
139	326	2007
140	328	1999
141	329	1988
142	330	1979
143	331	1972
144	333	1963
145	334	1955
146	335	1946
147	336	1938
148	338	1931
149	339	1925
150	341	1918
151	342	1911
152	343	1903
153	345	1896
154	346	1888
155	347	1880
156	348	1872
157	349	1865
158	351	1857
159	352	1850
160	353	1841
